affiliation:ID,:LABEL
"University of Newcastle","Institution"
"University of Strathclyde","Institution"
"Universityersidad de Talca","Institution"
"University of Houston-Clear Lake","Institution"
"University of Florida","Institution"
"Blood Bank of Hawaii, 2043 Dillingham Boulevard, Honolulu, HI 96819, United States","Institution"
"Dankook University","Institution"
"University of Waterloo","Institution"
"National Institute of Technology","Institution"
"Centrum Wiskunde & Informatica, Amsterdam, Netherlands","Institution"
"East Carolina University Greenville","Institution"
"University at Albany","Institution"
"China University of Geosciences","Institution"
"Western Carolina University","Institution"
"Dalhouse University","Institution"
"East Carolina University School of Medicine","Institution"
"University of Memphis","Institution"
"Illinois State University","Institution"
"Department of Business Information Technology, Virginia Tech, 1007 Pamplin Hall, Blacksburg, VA 24061, United States","Institution"
"North Carolina State University","Institution"
"QSS Group, Inc., Maryland, United States","Institution"
"La Habra City School District, La Habra, CA, United States","Institution"
"Center for Information Geoscience, UESTC 2006 Xiyuan Avenue West Hi-tech Zone Chengdu, Sichuan, China","Institution"
"Louisiana Tech University","Institution"
"Department of Library Studies and Educational Technology, United States","Institution"
"The University of Alabama","Institution"
"University of Belgrade","Institution"
"Department of Math/Computer Science East Carolina University Greenville","Institution"
"Citrix, Fort Lauderdale, FL 33309, United States","Institution"
"University of Pittsburgh","Institution"
"University of Washington","Institution"
"Reckitt Benckiser, 9, Moskovskij Prospekt, Kiev, 04073, Ukraine","Institution"
"Gunnery Sergeant, United State Marine Corps, United States","Institution"
"Virginia Commonwealth University","Institution"
"Texas A/M University - Corpus Christi","Institution"
"Xi'An Jiaotong University","Institution"
"University of Electronic and Science Technology of China (UESTC)","Institution"
"University of British Columbia","Institution"
"Brody School of Medicine at East Carolina University","Institution"
"E. Carolina University","Institution"
"California State University – Fullerton","Institution"
"Penn State University","Institution"
"Software Engineering, Corbis, Inc., Seattle, WA, United States","Institution"
"University of Kentucky","Institution"
"Tongji University","Institution"
"Temple University","Institution"
"Bucknell University","Institution"
"TCC Publishing, Inc., Greenville, NC, 25858, United States","Institution"
"Ohio University","Institution"
"Xi'an Jiaotong University","Institution"
"Utah Valley University","Institution"
"Florida A and M University","Institution"
"East Carolina University Department of Computer Science Science and Technology Building","Institution"
"Marist College","Institution"
"Texas Tech University","Institution"
"Sacred Heart University","Institution"
"Ingersoll Rand University","Institution"
"University of Central Florida","Institution"
"Youngstown State University","Institution"
"Wake Forest University","Institution"
"Southeast University","Institution"
"Oregon State University","Institution"
"Saint John's University","Institution"
"Winthrop University","Institution"
"East China University of Science and Technology","Institution"
"Virginia Polytech. Inst. Stt. University","Institution"
"Air Force Research Laboratory, United States","Institution"
"China Telecom Americas, Inc., San Jose, CA 95110, United States","Institution"
"Southwest Missouri State University","Institution"
"Ohio State University","Institution"
"College for Financial Planning","Institution"
"University of Notre Dame","Institution"
"Northeast Missouri State University","Institution"
"College of Business","Institution"
"East Carolina Heart Institute","Institution"
"Institute of Statistical Information","Institution"
"East Carolina University Department of Engineering","Institution"
"Oregon Institute of Technology","Institution"
"Senior Information Developer Systems and Technology Group, IBM Corporation, Poughkeepsie, NY, United States","Institution"
"Robert Morris University","Institution"
"University of Maryland","Institution"
"Computer Science East Carolina University","Institution"
"American University","Institution"
"Sun Yat-Sen University","Institution"
"University of Nebraska - Lincoln","Institution"
"University of Alabama","Institution"
"Texas A and M University","Institution"
"University of Banking of the National Bank of Ukraine","Institution"
"City University of Hong Kong","Institution"
"University of Johannesburg","Institution"
"University of New Hampshire","Institution"
"Okanagan College","Institution"
"Pennsylvania State University","Institution"
"División de Fésica Aplicada, Centro de Investigación Cientéfica y de Educación Superior de Ensenada, Apartado Postal 2732, Ensenada, B.C., 22800, Mexico","Institution"
"Georgia State University","Institution"
"University of Electronic Science and Technology of China","Institution"
"INRIA Lille Nord Europe, Lille, France","Institution"
"East Carolina University","Institution"
"Dakota State University","Institution"
"McGill University","Institution"
"University of New Orleans","Institution"
"Iowa State University","Institution"
"Elizabeth City State University","Institution"
"Institute of Mathematics","Institution"
"Radford University","Institution"
"Advisory Information Developer Software Group, IBM Corporation, Alfred, ME, United States","Institution"
"University of Toledo","Institution"
"University of Arizona","Institution"
"Department of Physics and Astronomy and Institute for Surface and Interface Science","Institution"
"Okayama University","Institution"
"Oxford Brookes University","Institution"
"University of Tennessee at Martin","Institution"
"College of Business East Carolina University","Institution"
"Robotics in Mining McGill University Montreal","Institution"
"Ingersoll Rand University in DavidsonNC","Institution"
"University of South Carolina","Institution"
"Western Washington University","Institution"
"University of Houston","Institution"
"University of North Carolina","Institution"
"East Carolina University Science and Technology Complex","Institution"
"Instituto de Estructura de la Materia, Consejo Superior de Investigaciones Científicas, Serrano 121, Madrid, 28006, Spain","Institution"
"Federal University of Campina Grande","Institution"
"Oakland University","Institution"
"California State University","Institution"
"Computer Science and Artificial Intelligence Laboratory, MIT, Cambridge, MA 02139, United States","Institution"
"DePaul University","Institution"
"Appalachian State University","Institution"
"Utah Valley State College","Institution"
"State University of New York Geneseo","Institution"
"Shanghai Institute of Satellite Engineering","Institution"
"ETS-Lindgren, ESCO Technology Company, Cedar Park, PA, United States","Institution"
"Centrum Wiskunde and Informatica, Amsterdam, Netherlands","Institution"
"McGill University 3480 University St.","Institution"
"University of California","Institution"
"Surface Optics Corporation, P. O. Box 261602, San Diego, 92196, United States","Institution"
"Services for the Blind, 404 St. Andrew Drive, Greenville, NC 27834, United States","Institution"
"Southern Polytechnic State University","Institution"
"Nanjing University","Institution"
"United States Air Force Academy, Department of Management, USAF Academy, 2354 Fairchild DriveCO, United States","Institution"
"South Carolina State University","Institution"
"Department of Apparel, Housing, and Resource Management, Virginia Tech, Blacksburg, VA, United States","Institution"
"NOVA Southeastern University College of Osteopathic Medicine","Institution"
"Southern Illinois University","Institution"
"University of North Carolina at Charlotte","Institution"
"Dalton State University","Institution"
"University of Victoria","Institution"
"University of Virginia","Institution"
"Sullivan University","Institution"
"University of Southern Mississippi","Institution"
"Instructional Technology at East Carolina University","Institution"
"George Washington University","Institution"
"Research and Production Corporation Radiy, 29 Geroyev Stalingrada St., Kirovograd, Ukraine","Institution"
"Wuhan University","Institution"
"National Aerospace University KhAI","Institution"
"Florida International University","Institution"
"University of Tennessee","Institution"
"Hawaii Pacific University","Institution"
"Old Dominion University","Institution"
"Center for Information Geoscience, UESTC, 2006 Xiyuan Avenue, West Hi-tech Zone, Chengdu, Sichuan, China","Institution"
"University of South Florida","Institution"
"Michigan State University","Institution"
"University of Cincinnati","Institution"
"Department of Computer Science East Carolina University","Institution"
"University of North Carolina-Chapel Hill","Institution"
"London School of Hygiene and Tropical Medicine, London WC1E 7HT, United Kingdom","Institution"
"Waynesburg University","Institution"
"Spartanburg Regional Healthcare System, 101 East Wood Street, Spartanburg, SC 29303, United States","Institution"
"University of Rhode Island","Institution"
"University of Geosciences","Institution"
"University of Wyoming","Institution"
"North Dakota State University","Institution"
"Toyohashi University of Technology","Institution"
"Purdue University","Institution"
"Kansas State University","Institution"
"Universityersité Paris-Est","Institution"
"Duke University","Institution"
"IBM Corporation, Alfred, ME, United States","Institution"
"University of Missouri","Institution"
"Augusta State University","Institution"
"Center for Creative Leadership, One Leadership Place, Greensboro, NC 27438-6300, United States","Institution"
"Carnegie Mellon University","Institution"
"West Texas A and M University","Institution"
"Swarmotics LLC, Laramie, United States","Institution"
"Florida State University","Institution"
"University of North Carolina at Chapel Hill","Institution"
"Beijing University of Aeronautics and Astronautics","Institution"
"University of Central Arkansas","Institution"
"JiShou University","Institution"
"Hydraulic Study Department, Calcutta Port Trust, Calcutta, India","Institution"
"University of Colorado at Denver","Institution"
"Open University","Institution"
"Pennsylvania State University - Harrisburg","Institution"
"Rensselaer Polytechnic Institute","Institution"
"Surface Optics Corporation, 11555 Rancho Bernardo Rd., San Diego, CA 92197, United States","Institution"
"Sun Yat-sen University","Institution"
"Woxsen School of Business, Jubilee Road No. 36, Hyderabad, India","Institution"
"Victoria University","Institution"
"Institute of Remote Sensing Big Data","Institution"
"Chaoyang University of Technology","Institution"
"Cardiff University","Institution"
"Auburn University","Institution"
"Key Lab of the Ministry of Education for Process Control and Efficiency Engineering, No. 28 Xiannin Road, Xi'an, Shaanxi, China","Institution"
"Department of Engineering East Carolina University","Institution"
"University of Calgary","Institution"
"Florida Atlantic University","Institution"
"Beijing Jiaotong University","Institution"
"Nanjing University of Posts and Telecommunications","Institution"
"School of Industry and Technology at East Carolina University in Greenville","Institution"
"Renaissance Computing Institute (RENCI)","Institution"
"School of Resources and Environment, UESTC, Chengdu, China","Institution"
"Northwestern State University","Institution"
"Rhode Island College","Institution"
"Lucent Technologies, Inc., 67 Whippany Rd., Whippany, NJ 07981, United States","Institution"
"Nanjing University of Sci. and Tech.","Institution"
"Portland State University","Institution"
"Harbin Institute of Technology","Institution"
"St. Joseph Engineering College","Institution"
"University of Georgia","Institution"
"Grambling State University","Institution"
"University of Electronic Science and Technology of China (UESTC)","Institution"
"Virginia State University","Institution"
"Indiana University","Institution"
"Central South University","Institution"
"Cleveland State University","Institution"
"Institute for Surface and Interface Science","Institution"
"West Virginia Geological and Economic Survey, P.O. Box 879, Morganstown, WV 26505-0879, United States","Institution"
"EHF Key Lab of Science, Chengdu, Sichuan, China","Institution"
"Fort Hays State University","Institution"
"North Carolina A and T State University","Institution"
"Jiangsu University of Science and Technology","Institution"
"University of Arkansas","Institution"
